Batch,M,N,K,PrecisionM,PrecisionA,Tensorcore,Iterations
64,256,1024,512,bf16,bf16,True,38955
16,16,16,1024,bf16,bf16,True,1000000
128,16,1024,64,bf16,bf16,True,500000
32,1,65536,1,bf16,bf16,True,1000000
64,512,1,512,bf16,bf16,True,500000
128,128,1024,256,bf16,bf16,True,76763
1,2048,256,1024,bf16,bf16,True,500000
1,512,4,32768,bf16,bf16,True,500000
128,128,512,8,bf16,bf16,True,500000
128,32,4096,128,bf16,bf16,True,151266
1,2048,2048,2048,bf16,bf16,True,38955
8,128,262144,1,bf16,bf16,True,500000
1,1,128,512,bf16,bf16,True,1000000
64,32,8,256,bf16,bf16,True,1000000
64,256,512,256,bf16,bf16,True,151266
128,4,8,128,bf16,bf16,True,1000000
64,32,16,512,bf16,bf16,True,500000
128,64,1024,128,bf16,bf16,True,298079
64,1024,2048,1024,bf16,bf16,True,2583
128,64,16,512,bf16,bf16,True,500000
4,16,2048,512,bf16,bf16,True,500000
32,8,16,256,bf16,bf16,True,1000000
16,128,4,8192,bf16,bf16,True,500000
8,256,1024,128,bf16,bf16,True,500000
128,16,512,4,bf16,bf16,True,1000000
16,1024,2048,128,bf16,bf16,True,76763
1,64,2048,512,bf16,bf16,True,500000
16,8,1024,512,bf16,bf16,True,500000
16,16,4,512,bf16,bf16,True,1000000
128,8,4,256,bf16,bf16,True,1000000
8,32,8,128,bf16,bf16,True,1000000
8,256,2048,256,bf16,bf16,True,298079
16,2048,256,128,bf16,bf16,True,298079
64,2048,512,128,bf16,bf16,True,38955
64,512,256,512,bf16,bf16,True,76763
8,128,256,64,bf16,bf16,True,500000
16,64,32,512,bf16,bf16,True,500000
1,512,2048,1024,bf16,bf16,True,298079
64,32,256,64,bf16,bf16,True,500000
1,8192,64,512,bf16,bf16,True,500000
8,4,8,512,bf16,bf16,True,1000000
128,32,4,1024,bf16,bf16,True,500000
128,16,262144,1,bf16,bf16,True,500000
32,32,4,1024,bf16,bf16,True,1000000
64,16,256,4,bf16,bf16,True,1000000
1,32768,4,2048,bf16,bf16,True,500000
4,1,2048,128,bf16,bf16,True,1000000
1,256,256,256,bf16,bf16,True,500000
64,64,1024,16,bf16,bf16,True,500000
64,256,256,32,bf16,bf16,True,500000
128,4,1024,128,bf16,bf16,True,500000
64,1024,512,512,bf16,bf16,True,19768
16,4,1024,256,bf16,bf16,True,500000
32,128,8,256,bf16,bf16,True,1000000
16,64,1024,128,bf16,bf16,True,500000
32,8,1024,8,bf16,bf16,True,1000000
16,1024,256,512,bf16,bf16,True,151266
256,512,16,128,bf16,bf16,True,500000
64,32,256,16,bf16,bf16,True,1000000
256,4,512,8192,bf16,bf16,True,76763
1,1,8192,8192,bf16,bf16,True,500000
4,64,512,8192,bf16,bf16,True,298079
16,128,2048,1024,bf16,bf16,True,76763
4,1,128,2048,bf16,bf16,True,1000000
128,32,16,512,bf16,bf16,True,500000
64,512,128,1024,bf16,bf16,True,76763
1,128,128,256,bf16,bf16,True,1000000
16,32,128,128,bf16,bf16,True,1000000
1,16,16384,1,bf16,bf16,True,1000000
16,8192,1,128,bf16,bf16,True,500000
32,8,128,8,bf16,bf16,True,1000000
16,128,1024,32,bf16,bf16,True,500000
1,32,1024,4096,bf16,bf16,True,500000
8,256,2048,2048,bf16,bf16,True,38955
8,32,256,1024,bf16,bf16,True,500000
256,16,512,512,bf16,bf16,True,298079
128,16,512,32,bf16,bf16,True,500000
64,128,16,2048,bf16,bf16,True,500000
16,8,512,256,bf16,bf16,True,500000
64,2048,2048,32,bf16,bf16,True,38955
32,16,4096,1,bf16,bf16,True,1000000
32,2048,2048,64,bf16,bf16,True,38955
16,16,512,2048,bf16,bf16,True,500000
8,32,512,8,bf16,bf16,True,1000000
16,2048,1,2048,bf16,bf16,True,500000
4,1,8192,32768,bf16,bf16,True,298079
4,2048,16,32768,bf16,bf16,True,76763
8,8,64,1024,bf16,bf16,True,1000000
16,32,128,1024,bf16,bf16,True,500000
32,4,32,1024,bf16,bf16,True,1000000
32,4,1024,8,bf16,bf16,True,1000000
4,1,512,8192,bf16,bf16,True,500000
4,64,8192,8192,bf16,bf16,True,19768
1,16,128,128,bf16,bf16,True,1000000
8,128,64,1024,bf16,bf16,True,500000
64,8192,16,128,bf16,bf16,True,298079
1,2048,512,512,bf16,bf16,True,500000
16,16,512,8192,bf16,bf16,True,298079
128,128,256,8,bf16,bf16,True,500000
128,64,8,128,bf16,bf16,True,1000000
64,4,8,1024,bf16,bf16,True,1000000
1,4,2048,8192,bf16,bf16,True,500000
32,8,4,128,bf16,bf16,True,1000000
8,8,8,512,bf16,bf16,True,1000000
4,1,128,512,bf16,bf16,True,1000000
8,128,1024,2048,bf16,bf16,True,151266
8,64,65536,1,bf16,bf16,True,500000
16,128,64,32768,bf16,bf16,True,76763
32,64,1,128,bf16,bf16,True,1000000
32,128,512,4,bf16,bf16,True,1000000
16,2048,1,128,bf16,bf16,True,1000000
4,512,4,2048,bf16,bf16,True,500000
64,16,128,4,bf16,bf16,True,1000000
32,1024,1024,128,bf16,bf16,True,76763
16,2048,2048,16,bf16,bf16,True,298079
32,16,512,512,bf16,bf16,True,500000
1,8192,16,32768,bf16,bf16,True,76763
128,64,8,256,bf16,bf16,True,500000
1,32,4096,64,bf16,bf16,True,1000000
8,64,512,8,bf16,bf16,True,1000000
1,8192,16,512,bf16,bf16,True,500000
1,16,1,128,bf16,bf16,True,1000000
32,32,64,512,bf16,bf16,True,500000
1,256,512,1024,bf16,bf16,True,500000
128,64,8,1024,bf16,bf16,True,500000
128,128,256,128,bf16,bf16,True,500000
16,64,128,1024,bf16,bf16,True,500000
16,16,128,32,bf16,bf16,True,1000000
128,1,65536,1,bf16,bf16,True,1000000
16,8,8,512,bf16,bf16,True,1000000
1,512,256,1024,bf16,bf16,True,500000
32,16,1024,64,bf16,bf16,True,500000
8,32,1024,512,bf16,bf16,True,500000
32,8,256,32,bf16,bf16,True,1000000
64,16,1024,8,bf16,bf16,True,1000000
128,4,1024,64,bf16,bf16,True,500000
4,16,128,32768,bf16,bf16,True,500000
128,32,8,128,bf16,bf16,True,1000000
128,4,1024,512,bf16,bf16,True,500000
32,64,16,256,bf16,bf16,True,1000000
64,128,256,8,bf16,bf16,True,500000
32,128,4,128,bf16,bf16,True,1000000
64,4,4,128,bf16,bf16,True,1000000
4,8192,4,512,bf16,bf16,True,500000
1,2048,1024,256,bf16,bf16,True,500000
16,16,128,4,bf16,bf16,True,1000000
8,32,1024,64,bf16,bf16,True,500000
8,2048,512,128,bf16,bf16,True,298079
64,32,256,128,bf16,bf16,True,500000
32,16,1024,256,bf16,bf16,True,500000
32,1024,128,128,bf16,bf16,True,500000
64,128,8,512,bf16,bf16,True,500000
64,64,4,128,bf16,bf16,True,1000000
4,64,8192,128,bf16,bf16,True,500000
128,128,128,32,bf16,bf16,True,500000
1,4,1024,128,bf16,bf16,True,1000000
64,8192,64,128,bf16,bf16,True,76763
16,32,128,4,bf16,bf16,True,1000000
32,1,1,128,bf16,bf16,True,1000000
128,4,64,256,bf16,bf16,True,1000000
1,128,1024,1,bf16,bf16,True,1000000
32,128,32,512,bf16,bf16,True,500000
32,1,16384,128,bf16,bf16,True,500000
8,32,256,256,bf16,bf16,True,500000
8,8,512,256,bf16,bf16,True,1000000
16,4,128,32768,bf16,bf16,True,500000
64,1024,128,128,bf16,bf16,True,298079
8,64,128,32,bf16,bf16,True,1000000
1,256,6144,2048,bf16,bf16,True,101723
16,16,256,512,bf16,bf16,True,500000
1,256,768,256,bf16,bf16,True,500000
128,2048,512,512,bf16,bf16,True,5091
1,16,256,1,bf16,bf16,True,1000000
8,1024,256,1024,bf16,bf16,True,151266
128,8,16,1024,bf16,bf16,True,500000
4,32768,4,8192,bf16,bf16,True,76763
128,256,512,2048,bf16,bf16,True,10032
1,8192,1,2048,bf16,bf16,True,500000
32,4,512,1024,bf16,bf16,True,500000
128,4,16,512,bf16,bf16,True,1000000
8,32,4,512,bf16,bf16,True,1000000
128,16,1024,128,bf16,bf16,True,500000
1,512,2048,128,bf16,bf16,True,500000
64,8,512,256,bf16,bf16,True,500000
256,8192,4,128,bf16,bf16,True,298079
1,128,512,512,bf16,bf16,True,500000
1,64,1024,128,bf16,bf16,True,1000000
8,16,32,128,bf16,bf16,True,1000000
64,256,2048,512,bf16,bf16,True,19768
64,128,128,1024,bf16,bf16,True,298079
16,4,32,512,bf16,bf16,True,1000000
16,4,1024,1024,bf16,bf16,True,500000
32,4,1,128,bf16,bf16,True,1000000
128,64,16,1024,bf16,bf16,True,500000
32,4,64,128,bf16,bf16,True,1000000
256,64,128,2048,bf16,bf16,True,76763
16,512,512,256,bf16,bf16,True,298079
32,4,16,1024,bf16,bf16,True,1000000
8,2048,1024,1024,bf16,bf16,True,19768
8,4,16,128,bf16,bf16,True,1000000
8,8,512,16,bf16,bf16,True,1000000
256,4,512,128,bf16,bf16,True,500000
64,4,1024,16,bf16,bf16,True,1000000
8,64,128,4,bf16,bf16,True,1000000
32,1024,1024,1024,bf16,bf16,True,10032
128,32,64,128,bf16,bf16,True,500000
128,16,4096,1,bf16,bf16,True,1000000
16,32,4096,32,bf16,bf16,True,500000
8,4,256,128,bf16,bf16,True,1000000
16,16,8192,512,bf16,bf16,True,298079
64,512,256,1024,bf16,bf16,True,38955
16,32768,4,512,bf16,bf16,True,298079
64,1,8192,128,bf16,bf16,True,500000
4,2048,1,2048,bf16,bf16,True,500000
1,64,128,8192,bf16,bf16,True,500000
16,2048,2048,32,bf16,bf16,True,151266
32,2048,256,2048,bf16,bf16,True,10032
1,512,512,2048,bf16,bf16,True,500000
64,4,16,256,bf16,bf16,True,1000000
32,32,256,512,bf16,bf16,True,500000
32,16,64,256,bf16,bf16,True,1000000
128,128,64,256,bf16,bf16,True,500000
1,512,512,1024,bf16,bf16,True,500000
1,1,32768,32768,bf16,bf16,True,298079
8,8,1024,32,bf16,bf16,True,1000000
4,1,128,32768,bf16,bf16,True,500000
32,8,512,32,bf16,bf16,True,1000000
128,128,1024,512,bf16,bf16,True,38955
64,8,512,1024,bf16,bf16,True,500000
64,4,128,16,bf16,bf16,True,1000000
8,1024,512,128,bf16,bf16,True,500000
128,32,256,16,bf16,bf16,True,500000
64,64,2048,8192,bf16,bf16,True,5091
8,4,1024,1024,bf16,bf16,True,500000
1,16,2048,128,bf16,bf16,True,1000000
256,128,4,32768,bf16,bf16,True,76763
1,1024,2048,512,bf16,bf16,True,298079
8,32,1024,4,bf16,bf16,True,1000000
1,4,128,512,bf16,bf16,True,1000000
1,512,64,2048,bf16,bf16,True,500000
4,32768,1,8192,bf16,bf16,True,298079
32,512,1024,512,bf16,bf16,True,38955
64,128,16,8192,bf16,bf16,True,298079
1,32768,16,2048,bf16,bf16,True,298079
16,32,4,512,bf16,bf16,True,1000000
64,512,16,128,bf16,bf16,True,500000
8,16,256,16,bf16,bf16,True,1000000
4,512,1,2048,bf16,bf16,True,1000000
16,32,256,256,bf16,bf16,True,500000
64,256,256,256,bf16,bf16,True,298079
8,128,4,512,bf16,bf16,True,1000000
8,64,128,512,bf16,bf16,True,500000
32,64,256,512,bf16,bf16,True,500000
8,8,64,512,bf16,bf16,True,1000000
