Batch,M,N,K,PrecisionM,PrecisionA,Tensorcore,Iterations
128,128,256,512,fp32,fp32,False,30253
16,8,256,512,fp32,fp32,False,100000
8,256,256,128,fp32,fp32,False,100000
1,1,512,2048,fp32,fp32,False,300000
1,2048,16,8192,fp32,fp32,False,100000
64,1,2048,8192,fp32,fp32,False,59615
128,8,64,1024,fp32,fp32,False,100000
16,64,16,512,fp32,fp32,False,300000
8,8,16,256,fp32,fp32,False,300000
64,32,128,8,fp32,fp32,False,300000
8,32,1024,1024,fp32,fp32,False,100000
256,1,2048,512,fp32,fp32,False,100000
16,1024,512,2048,fp32,fp32,False,3953
256,1,128,32768,fp32,fp32,False,59615
128,64,1024,1024,fp32,fp32,False,7791
128,1024,2048,256,fp32,fp32,False,1018
8,8,256,512,fp32,fp32,False,300000
16,8192,16,2048,fp32,fp32,False,15352
32,32,512,128,fp32,fp32,False,100000
4,16,8192,512,fp32,fp32,False,100000
256,2048,1,2048,fp32,fp32,False,59615
64,4,128,32,fp32,fp32,False,300000
128,16,256,64,fp32,fp32,False,100000
4,16,8192,32768,fp32,fp32,False,3953
1,256,128,512,fp32,fp32,False,100000
32,1024,128,512,fp32,fp32,False,30253
128,8,32,1024,fp32,fp32,False,100000
64,16,2048,2048,fp32,fp32,False,15352
64,4,512,4,fp32,fp32,False,300000
32,64,1024,16,fp32,fp32,False,100000
32,128,64,512,fp32,fp32,False,100000
128,4,512,1024,fp32,fp32,False,100000
64,256,256,512,fp32,fp32,False,30253
8,64,16,512,fp32,fp32,False,300000
16,32,1024,1024,fp32,fp32,False,100000
16,32768,4,128,fp32,fp32,False,100000
1,1,32768,128,fp32,fp32,False,300000
16,8,128,4,fp32,fp32,False,300000
128,8,16,128,fp32,fp32,False,300000
32,256,2048,512,fp32,fp32,False,7791
64,1,8192,128,fp32,fp32,False,100000
16,1024,2048,1024,fp32,fp32,False,2006
32,16,1024,4,fp32,fp32,False,300000
16,64,2048,128,fp32,fp32,False,100000
128,128,32,512,fp32,fp32,False,100000
16,512,64,32768,fp32,fp32,False,3953
8,64,2048,2048,fp32,fp32,False,30253
16,64,256,32,fp32,fp32,False,300000
16,4,8192,8192,fp32,fp32,False,15352
64,1024,2048,512,fp32,fp32,False,1018
8,128,128,8,fp32,fp32,False,300000
16,4,8192,512,fp32,fp32,False,100000
64,32,1024,64,fp32,fp32,False,100000
64,128,16,8192,fp32,fp32,False,59615
32,8,64,512,fp32,fp32,False,300000
32,128,512,64,fp32,fp32,False,100000
32,32,256,16,fp32,fp32,False,300000
64,128,256,128,fp32,fp32,False,100000
128,16,8,128,fp32,fp32,False,300000
8,2048,256,1024,fp32,fp32,False,15352
64,128,1,2048,fp32,fp32,False,100000
64,16,32768,512,fp32,fp32,False,3953
4,4,2048,2048,fp32,fp32,False,100000
8,4,1024,8,fp32,fp32,False,300000
4,4,512,2048,fp32,fp32,False,100000
4,512,64,128,fp32,fp32,False,100000
1,1,2048,128,fp32,fp32,False,300000
1,64,128,128,fp32,fp32,False,300000
128,32,2048,2048,fp32,fp32,False,3953
1,16,2048,8192,fp32,fp32,False,100000
128,32,128,32,fp32,fp32,False,100000
16,4,64,128,fp32,fp32,False,300000
16,512,2048,512,fp32,fp32,False,7791
32,512,1024,512,fp32,fp32,False,7791
16,512,4,128,fp32,fp32,False,300000
64,64,512,1024,fp32,fp32,False,30253
4,16,128,128,fp32,fp32,False,300000
8,128,256,256,fp32,fp32,False,100000
16,16,128,512,fp32,fp32,False,100000
8,128,8,256,fp32,fp32,False,300000
64,4,512,256,fp32,fp32,False,100000
8,128,512,1024,fp32,fp32,False,100000
16,512,256,1024,fp32,fp32,False,30253
64,8,512,64,fp32,fp32,False,100000
1,32,1024,32,fp32,fp32,False,300000
32,32,32,1024,fp32,fp32,False,100000
8,4,64,256,fp32,fp32,False,300000
16,8,64,256,fp32,fp32,False,300000
64,8192,4,512,fp32,fp32,False,59615
16,32,1024,8,fp32,fp32,False,300000
1,64,512,32768,fp32,fp32,False,59615
64,64,1024,64,fp32,fp32,False,100000
16,512,1024,2048,fp32,fp32,False,3953
128,8,256,8,fp32,fp32,False,300000
32,64,1024,128,fp32,fp32,False,100000
1,32,4096,128,fp32,fp32,False,100000
128,32,1024,64,fp32,fp32,False,100000
128,4,16,128,fp32,fp32,False,300000
8,64,1024,8,fp32,fp32,False,300000
32,256,128,1024,fp32,fp32,False,59615
1,1024,6144,2048,fp32,fp32,False,5239
4,64,512,2048,fp32,fp32,False,100000
64,512,64,512,fp32,fp32,False,59615
128,64,128,4,fp32,fp32,False,300000
1,128,1,128,fp32,fp32,False,300000
128,32,512,8,fp32,fp32,False,100000
8,256,1024,256,fp32,fp32,False,100000
1,1024,512,128,fp32,fp32,False,100000
16,64,128,2048,fp32,fp32,False,100000
4,1,8192,2048,fp32,fp32,False,100000
128,1024,128,128,fp32,fp32,False,30253
128,1024,512,1024,fp32,fp32,False,1018
16,256,1024,2048,fp32,fp32,False,7791
64,64,512,8,fp32,fp32,False,100000
64,128,16,512,fp32,fp32,False,100000
128,16,512,8,fp32,fp32,False,300000
1,512,1,32768,fp32,fp32,False,100000
8,1024,128,1024,fp32,fp32,False,59615
64,16,1024,32,fp32,fp32,False,100000
4,512,16,512,fp32,fp32,False,100000
128,64,512,4,fp32,fp32,False,100000
8,4,4,128,fp32,fp32,False,300000
64,128,4,32768,fp32,fp32,False,59615
4,4,512,32768,fp32,fp32,False,100000
8,128,2048,128,fp32,fp32,False,100000
64,1024,128,128,fp32,fp32,False,59615
256,512,4,2048,fp32,fp32,False,59615
128,32,64,256,fp32,fp32,False,100000
1,32,128,4096,fp32,fp32,False,100000
32,256,1024,2048,fp32,fp32,False,3953
64,128,256,64,fp32,fp32,False,100000
4,16,512,512,fp32,fp32,False,100000
128,16,128,128,fp32,fp32,False,100000
64,1,32768,128,fp32,fp32,False,100000
32,4,128,16,fp32,fp32,False,300000
16,4,1024,512,fp32,fp32,False,100000
16,64,1024,8,fp32,fp32,False,300000
16,1024,256,128,fp32,fp32,False,100000
16,2048,4,128,fp32,fp32,False,100000
32,8,64,1024,fp32,fp32,False,100000
8,512,512,2048,fp32,fp32,False,15352
256,1,8192,128,fp32,fp32,False,100000
64,128,128,512,fp32,fp32,False,100000
64,8,1024,8,fp32,fp32,False,300000
1,256,768,256,fp32,fp32,False,100000
8,16,16,1024,fp32,fp32,False,300000
16,128,256,128,fp32,fp32,False,100000
1,128,128,1024,fp32,fp32,False,100000
128,128,16,512,fp32,fp32,False,100000
1,8192,16,2048,fp32,fp32,False,100000
32,32,8,1024,fp32,fp32,False,300000
16,2048,2048,64,fp32,fp32,False,15352
32,4,512,1024,fp32,fp32,False,100000
128,8,32,128,fp32,fp32,False,300000
8,4,4,512,fp32,fp32,False,300000
16,64,256,64,fp32,fp32,False,100000
32,64,128,512,fp32,fp32,False,100000
64,8,128,4,fp32,fp32,False,300000
16,32,1024,32,fp32,fp32,False,100000
128,64,64,256,fp32,fp32,False,100000
16,64,64,512,fp32,fp32,False,100000
1,2048,1024,256,fp32,fp32,False,100000
64,2048,256,128,fp32,fp32,False,15352
8,128,256,1024,fp32,fp32,False,100000
1,512,1536,512,fp32,fp32,False,100000
16,64,32768,128,fp32,fp32,False,15352
16,8192,1,128,fp32,fp32,False,100000
128,16,512,1024,fp32,fp32,False,59615
16,128,128,2048,fp32,fp32,False,100000
