op,size,iter,root,in_place
all_reduce,16384,266753,0,False
all_gather,131072,192202,0,False
all_reduce,19660,216235,0,False
all_gather,157280,214944,0,False
all_reduce,22936,250755,0,False
all_gather,183488,204341,0,False
all_reduce,26212,230074,0,False
all_gather,209696,265207,0,False
all_reduce,29488,163259,0,False
all_gather,235904,263429,0,False
all_reduce,32768,191879,0,False
all_gather,262144,250984,0,False
all_reduce,39320,231539,0,False
all_gather,314560,200921,0,False
all_reduce,45872,219073,0,False
all_gather,366976,261366,0,False
all_reduce,52428,184863,0,False
all_gather,419424,262453,0,False
all_reduce,58980,216612,0,False
all_gather,471840,242388,0,False
all_reduce,65536,259356,0,False
all_gather,524288,249474,0,False
all_reduce,78640,174494,0,False
all_gather,629120,185110,0,False
all_reduce,91748,207955,0,False
all_gather,733984,213012,0,False
all_reduce,104856,236169,0,False
all_gather,838848,198382,0,False
all_reduce,117964,215806,0,False
all_gather,943712,198463,0,False
all_reduce,131072,186118,0,False
all_gather,1048576,216757,0,False
all_reduce,157284,221136,0,False
all_gather,1258272,247148,0,False
all_reduce,183500,234390,0,False
all_gather,1468000,236887,0,False
all_reduce,209712,214644,0,False
all_gather,1677696,183917,0,False
all_reduce,235928,214005,0,False
all_gather,1887424,237650,0,False
all_reduce,262144,253695,0,False
all_gather,2097152,170560,0,False
all_reduce,314572,189780,0,False
all_gather,2516576,199202,0,False
all_reduce,367000,211775,0,False
all_gather,2936000,193108,0,False
all_reduce,419428,231717,0,False
all_gather,3355424,170541,0,False
all_reduce,471856,193811,0,False
all_gather,3774848,204232,0,False
all_reduce,524288,197254,0,False
all_gather,4194304,178165,0,False
all_reduce,629144,221589,0,False
all_gather,5033152,179099,0,False
all_reduce,734000,163886,0,False
all_gather,5872000,161676,0,False
all_reduce,838860,174083,0,False
all_gather,6710880,123030,0,False
all_reduce,943716,202013,0,False
all_gather,7549728,143375,0,False
all_reduce,1048576,223143,0,False
all_gather,8388608,143515,0,False
all_reduce,1258288,218758,0,False
all_gather,10066304,134707,0,False
all_reduce,1468004,191393,0,False
all_gather,11744032,128737,0,False
all_reduce,1677720,172593,0,False
all_gather,13421760,120396,0,False
all_reduce,1887436,182058,0,False
all_gather,15099488,103489,0,False
all_reduce,2097152,191299,0,False
all_gather,16777216,106524,0,False
all_reduce,2516580,161973,0,False
all_gather,20132640,63745,0,False
all_reduce,2936012,164597,0,False
all_gather,23488096,56072,0,False
all_reduce,3355440,162860,0,False
all_gather,26843520,82329,0,False
all_reduce,3774872,159256,0,False
all_gather,30198976,54106,0,False
all_reduce,4194304,150386,0,False
all_gather,33554432,68896,0,False
all_reduce,5033164,132154,0,False
all_gather,40265312,38464,0,False
all_reduce,5872024,138910,0,False
all_gather,46976192,43161,0,False
all_reduce,6710884,128145,0,False
all_gather,53687072,33585,0,False
all_reduce,7549744,116460,0,False
all_gather,60397952,49280,0,False
all_reduce,8388608,106380,0,False
all_gather,67108864,50232,0,False
all_reduce,10066328,96491,0,False
all_gather,80530624,26556,0,False
all_reduce,11744048,92115,0,False
all_gather,93952384,35488,0,False
all_reduce,13421772,85944,0,False
all_gather,107374176,19804,0,False
all_reduce,15099492,78594,0,False
