precision,workload_type,workload_function,dims,iterations
bf16,nonlinear,softmax,"(1024, 1024)",-1
fp16,nonlinear,softmax,"(1024, 1024)",-1
fp32,nonlinear,softmax,"(1024, 1024)",-1
bf16,nonlinear,softmax,"(1024, 128)",-1
fp16,nonlinear,softmax,"(1024, 128)",-1
fp32,nonlinear,softmax,"(1024, 128)",-1
bf16,nonlinear,softmax,"(1024, 192)",-1
fp16,nonlinear,softmax,"(1024, 192)",-1
fp32,nonlinear,softmax,"(1024, 192)",-1
bf16,nonlinear,softmax,"(1024, 256)",-1
fp16,nonlinear,softmax,"(1024, 256)",-1
fp32,nonlinear,softmax,"(1024, 256)",-1
bf16,nonlinear,softmax,"(1024, 320)",-1
fp16,nonlinear,softmax,"(1024, 320)",-1
fp32,nonlinear,softmax,"(1024, 320)",-1
bf16,nonlinear,softmax,"(1024, 384)",-1
fp16,nonlinear,softmax,"(1024, 384)",-1
fp32,nonlinear,softmax,"(1024, 384)",-1
bf16,nonlinear,softmax,"(1024, 448)",-1
fp16,nonlinear,softmax,"(1024, 448)",-1
fp32,nonlinear,softmax,"(1024, 448)",-1
bf16,nonlinear,softmax,"(1024, 512)",-1
fp16,nonlinear,softmax,"(1024, 512)",-1
fp32,nonlinear,softmax,"(1024, 512)",-1
bf16,nonlinear,softmax,"(1024, 576)",-1
fp16,nonlinear,softmax,"(1024, 576)",-1
fp32,nonlinear,softmax,"(1024, 576)",-1
bf16,nonlinear,softmax,"(1024, 640)",-1
fp16,nonlinear,softmax,"(1024, 640)",-1
fp32,nonlinear,softmax,"(1024, 640)",-1
bf16,nonlinear,softmax,"(1024, 704)",-1
fp16,nonlinear,softmax,"(1024, 704)",-1
fp32,nonlinear,softmax,"(1024, 704)",-1
bf16,nonlinear,softmax,"(1024, 768)",-1
fp16,nonlinear,softmax,"(1024, 768)",-1
fp32,nonlinear,softmax,"(1024, 768)",-1
bf16,nonlinear,softmax,"(1024, 832)",-1
fp16,nonlinear,softmax,"(1024, 832)",-1
fp32,nonlinear,softmax,"(1024, 832)",-1
bf16,nonlinear,softmax,"(1024, 896)",-1
fp16,nonlinear,softmax,"(1024, 896)",-1
fp32,nonlinear,softmax,"(1024, 896)",-1
bf16,nonlinear,softmax,"(1024, 960)",-1
fp16,nonlinear,softmax,"(1024, 960)",-1
fp32,nonlinear,softmax,"(1024, 960)",-1
bf16,nonlinear,softmax,"(128, 1024)",-1
fp16,nonlinear,softmax,"(128, 1024)",-1
fp32,nonlinear,softmax,"(128, 1024)",-1
bf16,nonlinear,softmax,"(128, 128)",-1
fp16,nonlinear,softmax,"(128, 128)",-1
fp32,nonlinear,softmax,"(128, 128)",-1
bf16,nonlinear,softmax,"(128, 192)",-1
fp16,nonlinear,softmax,"(128, 192)",-1
fp32,nonlinear,softmax,"(128, 192)",-1
bf16,nonlinear,softmax,"(128, 256)",-1
fp16,nonlinear,softmax,"(128, 256)",-1
fp32,nonlinear,softmax,"(128, 256)",-1
bf16,nonlinear,softmax,"(128, 320)",-1
fp16,nonlinear,softmax,"(128, 320)",-1
fp32,nonlinear,softmax,"(128, 320)",-1
bf16,nonlinear,softmax,"(128, 384)",-1
fp16,nonlinear,softmax,"(128, 384)",-1
fp32,nonlinear,softmax,"(128, 384)",-1
bf16,nonlinear,softmax,"(128, 448)",-1
fp16,nonlinear,softmax,"(128, 448)",-1
fp32,nonlinear,softmax,"(128, 448)",-1
bf16,nonlinear,softmax,"(128, 512)",-1
fp16,nonlinear,softmax,"(128, 512)",-1
fp32,nonlinear,softmax,"(128, 512)",-1
bf16,nonlinear,softmax,"(128, 576)",-1
fp16,nonlinear,softmax,"(128, 576)",-1
fp32,nonlinear,softmax,"(128, 576)",-1
bf16,nonlinear,softmax,"(128, 640)",-1
fp16,nonlinear,softmax,"(128, 640)",-1
fp32,nonlinear,softmax,"(128, 640)",-1
bf16,nonlinear,softmax,"(128, 704)",-1
fp16,nonlinear,softmax,"(128, 704)",-1
fp32,nonlinear,softmax,"(128, 704)",-1
bf16,nonlinear,softmax,"(128, 768)",-1
fp16,nonlinear,softmax,"(128, 768)",-1
fp32,nonlinear,softmax,"(128, 768)",-1
bf16,nonlinear,softmax,"(128, 832)",-1
fp16,nonlinear,softmax,"(128, 832)",-1
fp32,nonlinear,softmax,"(128, 832)",-1
bf16,nonlinear,softmax,"(128, 896)",-1
fp16,nonlinear,softmax,"(128, 896)",-1
fp32,nonlinear,softmax,"(128, 896)",-1
bf16,nonlinear,softmax,"(128, 960)",-1
fp16,nonlinear,softmax,"(128, 960)",-1
fp32,nonlinear,softmax,"(128, 960)",-1
bf16,nonlinear,softmax,"(131072, 1024)",-1
